State,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate (Total Ballots Counted),VEP Turnout Rate (Highest Office),Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,State Abv
Alabama,2325000.00,2323282.00,0.63,0.63,3683055.00,3837540.00,0.02,25898.00,50997.00,10266.00,67782.00,AL
Alaska,361400.00,359530.00,0.69,0.68,525568.00,551117.00,0.03,4293.00,2074.00,1348.00,6927.00,AK
Arizona,3420565.00,3385294.00,0.66,0.65,5189000.00,5798473.00,0.09,38520.00,76844.00,7536.00,93699.00,AZ
Arkansas,1223675.00,1219069.00,0.56,0.56,2182375.00,2331171.00,0.04,17510.00,36719.00,24698.00,64974.00,AR
California,17783784.00,17495826.00,0.69,0.67,25962648.00,30783255.00,0.15,104730.00,0.00,102586.00,207316.00,CA
Colorado,3295666.00,3256952.00,0.76,0.76,4313054.00,4595504.00,0.06,18905.00,0.00,0.00,18905.00,CO
Connecticut,1861086.00,1824280.00,0.72,0.70,2603327.00,2839560.00,0.08,13268.00,0.00,4452.00,17720.00,CT
Delaware,509241.00,504010.00,0.71,0.70,720531.00,780822.00,0.06,5874.00,14176.00,350.00,15013.00,DE
District of Columbia,346491.00,344356.00,0.64,0.64,540685.00,582065.00,0.07,0.00,0.00,0.00,0.00,DC
Florida,11144855.00,11067456.00,0.72,0.71,15551739.00,17543341.00,0.10,91674.00,205033.00,4345.00,223139.00,FL
Georgia,5000511.00,4997716.00,0.68,0.68,7383562.00,8255108.00,0.07,50930.00,416771.00,20426.00,329754.00,GA
Hawaii,579784.00,574469.00,0.58,0.57,1007920.00,1114466.00,0.09,5007.00,0.00,0.00,5007.00,HI
Idaho,875000.00,867360.00,0.68,0.67,1292701.00,1384683.00,0.04,8378.00,34392.00,5267.00,34968.00,ID
Illinois,6050000.00,6033744.00,0.67,0.67,9027082.00,9832749.00,0.08,38464.00,0.00,0.00,38464.00,IL
Indiana,3068542.00,3033112.00,0.61,0.61,5000007.00,5214546.00,0.04,26302.00,0.00,0.00,26302.00,IN
Iowa,1700130.00,1690871.00,0.73,0.73,2321131.00,2439743.00,0.04,9216.00,29137.00,6652.00,33933.00,IA
Kansas,1375125.00,1333513.00,0.66,0.64,2087946.00,2223238.00,0.05,9882.00,16455.00,5438.00,25522.00,KS
Kentucky,2150954.00,2136768.00,0.65,0.65,3312250.00,3479257.00,0.03,23280.00,46967.00,15881.00,68281.00,KY
Louisiana*,2180000.00,2071543.00,0.65,0.61,3373932.00,3557594.00,0.03,32267.00,35025.00,29321.00,83304.00,LA
Maine,828305.00,819461.00,0.76,0.76,1085285.00,1104489.00,0.02,0.00,0.00,0.00,0.00,ME
Maryland,3050000.00,3037030.00,0.71,0.70,4313416.00,4729400.00,0.08,18165.00,0.00,0.00,18165.00,MD
Massachusetts,3658005.00,3631402.00,0.72,0.72,5072901.00,5566452.00,0.09,7772.00,0.00,0.00,7772.00,MA
